strategy,prompt,machine_id,rejected,rejection_reason,sensor_id,severity,spike_value,rul,status,capacity_pct,machine_req,dispatch,rubric_aggregate,rubric_machine_name,rubric_rul,rubric_action,rubric_capacity,rubric_no_hallucination,rubric_notes,latency_ms,repeat,spike_summary,severity_multiplier
keyword_only,minor bearing wobble on Machine 1,1,False,,Xs2,HIGH,0.93,1.1891658306121826,OFFLINE,80.0,18.594,"[Floor Manager] Metal Press OFFLINE at RUL 1.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Metal Press workload to remaining online machines. Factory at 80.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 18.59.",5.0,5.0,5.0,5.0,5.0,5.0,,9.79924201965332,0,,
keyword_only,slight motor temp drift on Machine 2,2,False,,Xs2,HIGH,0.93,1.1891658306121826,OFFLINE,60.0,24.792,"[Floor Manager] Paint & Coat OFFLINE at RUL 1.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Paint & Coat workload to remaining online machines. Factory at 60.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 24.79.",5.0,5.0,5.0,5.0,5.0,5.0,,3.0918121337890625,0,,
keyword_only,subtle pressure creep on Machine 3,3,False,,Xs4,HIGH,0.92,1.1891658306121826,OFFLINE,40.0,37.188,"[Floor Manager] PCB Line OFFLINE at RUL 1.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute PCB Line workload to remaining online machines. Factory at 40.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 37.19.",5.0,5.0,5.0,5.0,5.0,5.0,,2.699613571166992,0,,
keyword_only,intermittent vibration on Machine 4,4,False,,Xs0,MEDIUM,0.88,70.83450317382812,ONLINE,40.0,37.188,[Floor Manager] Final Assembly is ONLINE and operating nominally. No immediate action required — continue monitoring. RUL at 70.8 cycles — next scheduled inspection on-cycle. Factory at 40.0% capacity — all systems healthy.,5.0,5.0,5.0,5.0,5.0,5.0,,3.95512580871582,0,,
keyword_only,early sign of coolant flow drop on Machine 5,5,False,,W3,HIGH,0.91,1.1891658306121826,OFFLINE,20.0,74.375,"[Floor Manager] QC & Pack OFFLINE at RUL 1.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute QC & Pack workload to remaining online machines. Factory at 20.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 74.38.",5.0,5.0,5.0,5.0,5.0,5.0,,3.508329391479492,0,,
keyword_only,bearing temperature spike on Machine 1,1,False,,Xs2,HIGH,0.93,1.1891658306121826,OFFLINE,20.0,74.375,"[Floor Manager] Metal Press OFFLINE at RUL 1.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Metal Press workload to remaining online machines. Factory at 20.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 74.38.",5.0,5.0,5.0,5.0,5.0,5.0,,3.560304641723633,0,,
keyword_only,motor temp anomaly on Machine 2,2,False,,Xs2,HIGH,0.93,1.1891658306121826,OFFLINE,20.0,74.375,"[Floor Manager] Paint & Coat OFFLINE at RUL 1.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Paint & Coat workload to remaining online machines. Factory at 20.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 74.38.",5.0,5.0,5.0,5.0,5.0,5.0,,2.597808837890625,0,,
keyword_only,oil pressure surge on Machine 3,3,False,,Xs4,HIGH,0.92,1.1891658306121826,OFFLINE,20.0,74.375,"[Floor Manager] PCB Line OFFLINE at RUL 1.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute PCB Line workload to remaining online machines. Factory at 20.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 74.38.",5.0,5.0,5.0,5.0,5.0,5.0,,2.721548080444336,0,,
keyword_only,vibration above normal on Machine 4,4,False,,Xs0,MEDIUM,0.88,70.86146545410156,ONLINE,20.0,74.375,[Floor Manager] Final Assembly is ONLINE and operating nominally. No immediate action required — continue monitoring. RUL at 70.9 cycles — next scheduled inspection on-cycle. Factory at 20.0% capacity — all systems healthy.,5.0,5.0,5.0,5.0,5.0,5.0,,4.567623138427734,0,,
keyword_only,coolant flow disruption on Machine 5,5,False,,W3,HIGH,0.91,4.7004899978637695,OFFLINE,20.0,74.375,"[Floor Manager] QC & Pack OFFLINE at RUL 4.7 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute QC & Pack workload to remaining online machines. Factory at 20.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 74.38.",5.0,5.0,5.0,5.0,5.0,5.0,,3.932952880859375,0,,
